Bundesland;Kreis
Nordrhein-Westfalen;Essen
Nordrhein-Westfalen;Krefeld
Nordrhein-Westfalen;Mönchengladbach
Nordrhein-Westfalen;Mülheim an der Ruhr
Nordrhein-Westfalen;Oberhausen
Nordrhein-Westfalen;Remscheid
Nordrhein-Westfalen;Solingen
Nordrhein-Westfalen;Wuppertal
Nordrhein-Westfalen;Bonn
Nordrhein-Westfalen;Köln
Nordrhein-Westfalen;Leverkusen
Nordrhein-Westfalen;Bottrop
Nordrhein-Westfalen;Gelsenkirchen
Nordrhein-Westfalen;Münster
Nordrhein-Westfalen;Bielefeld
Nordrhein-Westfalen;Bochum
Nordrhein-Westfalen;Dortmund
Nordrhein-Westfalen;Hagen
Nordrhein-Westfalen;Hamm
Nordrhein-Westfalen;Herne
Hessen;Darmstadt
Hessen;Frankfurt am Main
Hessen;Offenbach am Main
Hessen;Wiesbaden
Rheinland-Pfalz;Koblenz
Rheinland-Pfalz;Trier
Rheinland-Pfalz;Eifelkreis-Bitburg-Prüm
Rheinland-Pfalz;Frankenthal (Pfalz)
Rheinland-Pfalz;Landau in der Pfalz
Rheinland-Pfalz;Ludwigshafen am Rhein
Rheinland-Pfalz;Mainz
Rheinland-Pfalz;Neustadt an der Weinstra√üe
Rheinland-Pfalz;Pirmasens
Rheinland-Pfalz;Speyer
Rheinland-Pfalz;Worms
Rheinland-Pfalz;Zweibrücken
Bayern;Mühldorf a. Inn
Bayern;Pfaffenhofen a.d. Ilm
Bayern;Kaufbeuren
Bayern;Kempten (Allgäu)
Bayern;Memmingen
Bayern;Dillingen a.d. Donau
Saarbrücken;Stadtverband Saarbrücken
Berlin;Berlin
Brandenburg;Brandenburg an der Havel
Brandenburg;Cottbus
Brandenburg;Frankfurt (Oder)
Brandenburg;Potsdam
Mecklenburg-Vorpommern;Schwerin
Sachsen;Chemnitz
Sachsen-Anhalt;Dessau-Roßlau
Sachsen-Anhalt;Halle (Saale)
Sachsen-Anhalt;Magdeburg
Thüringen;Erfurt
Thüringen;Gera
Thüringen;Jena
Thüringen;Suhl
Thüringen;Weimar
Thüringen;Eisenach
Rheinland-Pfalz;Neustadt an der Weinstraße
Sachsen;Dresden
